gisjoin,fips,adi_natrank,adi_staternk
G37003109701031,370319701031,42,3
G37003109701032,370319701032,73,7
G37003109701033,370319701033,48,4
G37003109702001,370319702001,34,2
G37003109702002,370319702002,44,3
G37003109703011,370319703011,93,10
G37003109703012,370319703012,18,1
G37003109703013,370319703013,45,3
G37003109703021,370319703021,74,7
G37003109703022,370319703022,85,9
G37003109703031,370319703031,23,1
G37003109703041,370319703041,33,2
G37003109703042,370319703042,49,4
G37003109703043,370319703043,28,2
G37003109704011,370319704011,96,10
G37003109704021,370319704021,77,8
G37003109704022,370319704022,55,5
G37003109704031,370319704031,22,1
G37003109704032,370319704032,32,2
G37003109704033,370319704033,16,1
G37003109705011,370319705011,83,9
G37003109705012,370319705012,39,3
G37003109705021,370319705021,33,2
G37003109705022,370319705022,26,2
G37003109705031,370319705031,41,3
G37003109705032,370319705032,39,3
G37003109705033,370319705033,62,6
G37003109705041,370319705041,22,1
G37003109705042,370319705042,98,10
G37003109706011,370319706011,68,6
G37003109706021,370319706021,18,1
G37003109706031,370319706031,72,7
G37003109706041,370319706041,31,2
G37003109706042,370319706042,19,1
G37003109706051,370319706051,31,2
G37003109707011,370319707011,62,6
G37003109707021,370319707021,63,6
G37003109707022,370319707022,38,3
G37003109707031,370319707031,59,5
G37003109707032,370319707032,59,5
G37003109707033,370319707033,55,5
G37003109707034,370319707034,68,6
G37003109707041,370319707041,60,5
G37003109708011,370319708011,51,4
G37003109708012,370319708012,49,4
G37003109708021,370319708021,29,2
G37003109708022,370319708022,15,1
G37003109708031,370319708031,24,2
G37003109708032,370319708032,33,2
G37003109708041,370319708041,29,2
G37003109708042,370319708042,34,2
G37003109708043,370319708043,27,2
G37003109708051,370319708051,49,4
G37003109709011,370319709011,4,1
G37003109709012,370319709012,12,1
G37003109709021,370319709021,29,2
G37003109709022,370319709022,29,2
G37003109709031,370319709031,20,1
G37003109710011,370319710011,37,3
G37003109710021,370319710021,18,1
G37003109710022,370319710022,18,1
G37003109711011,370319711011,32,2
G37003109711012,370319711012,51,4
G37003109711013,370319711013,26,2
G37003109711021,370319711021,9,1
G37003109711022,370319711022,28,2
G37003309301001,370339301001,69,6
G37003309301002,370339301002,78,8
G37003309302001,370339302001,76,7
G37003309302002,370339302002,74,7
G37003309302003,370339302003,67,6
G37003309303001,370339303001,79,8
G37003309303002,370339303002,78,8
G37003309303003,370339303003,77,8
G37003309303004,370339303004,72,7
G37003309304001,370339304001,67,6
G37003309304002,370339304002,84,9
G37003309305001,370339305001,62,6
G37003309305002,370339305002,63,6
G37003309305003,370339305003,75,7
G37003309306001,370339306001,69,6
G37003309306002,370339306002,54,4
G37003309306003,370339306003,76,8
G37003500101011,370350101011,66,6
G37003500101012,370350101012,33,2
G37003500101013,370350101013,80,8
G37003500101014,370350101014,55,5
G37003500101021,370350101021,34,2
G37003500101022,370350101022,53,4
